Greece,"1,422,020",,"21,185 ",,"1,049,718",,"351,117",639,"137,447","2,048","49,462,354"
Sweden,"1,375,267",,"15,326 ",,"1,207,521","+3,334","152,420",115,"134,902","1,503","15,268,363"
Serbia,"1,327,455",,"12,850 ",,"1,269,630",,"44,975",79,"152,861","1,480","7,349,981"
Austria,"1,312,939",,"13,823 ",,"1,247,752",,"51,364",295,"144,530","1,522","125,526,389"
Pakistan,"1,301,141","+1,293","28,961 ",+6,"1,258,086",+239,"14,094",609,"5,722",127,"23,706,375"
Hungary,"1,282,957","+6,524","39,780 ",+101,"1,137,648","+4,303","105,529",291,"133,319","4,134","9,285,125"
Jordan,"1,074,007",,"12,810 ",,"1,035,143",,"26,054",745,"103,705","1,237","13,755,650"
Kazakhstan,"990,039",,"13,043 ",,"961,806",,"15,190",528,"51,790",682,"11,575,012"
Morocco,"983,629",,"14,883 ",,"946,289",,"22,457",103,"26,180",396,"10,973,221"
Cuba,"970,567",,"8,325 ",,"958,382",,"3,860",25,"85,768",736,"11,769,922"
Georgia,"953,410","+4,234","14,128 ",+46,"910,540","+1,727","28,742",,"239,696","3,552","13,140,011"
Ireland,"908,672",,"5,952 ",,"596,774",,"305,946",90,"180,966","1,185","9,975,030"
Denmark,"896,566",,"3,333 ",,"661,809",,"231,424",82,"153,968",572,"109,165,488"
Slovakia,"856,685",,"16,871 ",,"802,622",,"37,192",455,"156,797","3,088","5,156,380"
Nepal,"830,480",,"11,602 ",,"813,447",,"5,431",114,"27,748",388,"4,901,742"
UAE,"777,584",,"2,170 ",,"750,156",,"25,258",,"77,209",215,"113,888,287"
Bulgaria,"770,001",,"31,375 ",,"617,448",,"121,178",509,"112,094","4,567","7,621,318"
Australia,"762,458","+78,231","2,321 ",+20,"351,637",,"408,500",269,"29,385",89,"56,553,912"
Lebanon,"753,879",,"9,231 ",,"672,101",,"72,547",186,"111,205","1,362","4,795,578"
Croatia,"745,544",,"12,764 ",,"692,927",,"39,853",244,"183,318","3,138","3,832,295"
Tunisia,"735,973",,"25,630 ",,"697,844",,"12,499",84,"61,302","2,135","3,446,388"
Belarus,"704,907",,"5,669 ",,"697,953",,"1,285",,"74,636",600,"11,138,815"
S. Korea,"657,508","+3,716","5,932 ",+45,"549,488","+4,024","102,088",882,"12,808",116,"15,804,065"
Bolivia,"652,819","+11,002","19,888 ",+40,"540,099","+2,622","92,832",220,"54,795","1,669","2,633,963"
Guatemala,"631,730",,"16,114 ",,"609,211",,"6,405",5,"34,302",875,"3,300,578"
Azerbaijan,"619,502",,"8,422 ",,"603,906",,"7,174",,"60,278",819,"5,911,227"
Sri Lanka,"590,063",,"15,083 ",,"561,557",,"13,423",,"27,382",700,"5,726,599"
Costa Rica,"581,394",,"7,370 ",,"561,676",,"12,348",55,"112,575","1,427","3,015,552"
Saudi Arabia,"568,650",,"8,888 ",,"544,161",,"15,601",117,"15,958",249,"33,885,624"
Ecuador,"559,950",,"33,699 ",,"443,880",,"82,371",759,"31,025","1,867","2,187,626"
Lithuania,"536,405","+3,415","7,504  ",+4,"496,376","+1,748","32,525",93,"201,295","2,816","6,691,579"
Myanmar,"531,624",,"19,284 ",,"509,600",,"2,740",,"9,673",351,"6,098,644"
Panama,"512,402",,"7,449 ",,"478,796",,"26,157",35,"115,994","1,686","4,604,218"
Slovenia,"478,860",,"5,634 ",,"447,463",,"25,763",160,"230,291","2,709","2,113,911"
Paraguay,"472,673",,"16,658 ",,"448,747",,"7,268",48,"65,061","2,293","2,064,627"
Venezuela,"446,026",,"5,345 ",,"435,794",,"4,887",681,"15,753",189,"3,359,014"
Palestine,"441,224",,"4,698 ",,"433,130",,"3,396",57,"83,555",890,"2,875,118"
Ethiopia,"440,024",,"7,005 ",,"359,608",,"73,411",396,"3,689",59,"4,173,607"
Dominican Republic,"439,017",,"4,252 ",,"409,832",,"24,933",182,"39,865",386,"2,624,951"
